positive	AMBIENCE#GENERAL	seating	18:25	short and sweet – seating is great:it's romantic,cozy and private.
positive	RESTAURANT#GENERAL	place	27:32	This is by far my favorite place in the neighborhood.
positive	FOOD#QUALITY	food	80:84	The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.
negative	SERVICE#GENERAL	waiter	76:82	I was there for brunch recently, and we were tag teamed by a waitress and a waiter.
negative	SERVICE#GENERAL	svc	4:7	The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!
positive	FOOD#QUALITY	seafood	59:66	Mermaid Inn is an overall good restaurant with really good seafood.
positive	DRINKS#QUALITY	drink	5:10	Good drink.
negative	FOOD#QUALITY	rolls	102:107	It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.
positive	RESTAURANT#GENERAL	place	5:10	This place is worth an one-hour drive.
neutral	SERVICE#GENERAL	wait	80:84	We did arrive late for our reservation so I can not complain too much about the wait for a table.
positive	RESTAURANT#GENERAL	Indian Restaurant	5:22	Best Indian Restaurant in the City
negative	FOOD#QUALITY	dhosas	49:55	I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.
neutral	FOOD#QUALITY	food	4:8	The food was ok and fair nothing to go crazy.
neutral	SERVICE#GENERAL	service	39:46	overpriced japanese food with mediocre service
positive	RESTAURANT#MISCELLANEOUS	VT's	28:32	I take all my NYC guests to VT's.
negative	FOOD#QUALITY	seabass	59:66	The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.
positive	DRINKS#QUALITY	wine by the glass	9:26	even the wine by the glass was good.
negative	RESTAURANT#GENERAL	restaurant	18:28	not sure why this restaurant would be rated that highly.
positive	FOOD#QUALITY	food	6:10	Great food, great prices, great service.
positive	FOOD#QUALITY	food	42:46	The portions are small but being that the food was so good makes up for that.
negative	FOOD#QUALITY	Thai	27:31	If you want good authentic Thai this place is not the place to go.
positive	FOOD#QUALITY	food	4:8	The food tasted very good.
negative	SERVICE#GENERAL	customer service	49:65	I was here a few weeks back and we had the worst customer service experience at a restaurant ever.
negative	RESTAURANT#GENERAL	place	12:17	Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.
positive	FOOD#QUALITY	food	4:8	The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.
negative	FOOD#QUALITY	food	33:37	I was speechless by the horrible food.
positive	FOOD#QUALITY	Dal Bukhara	8:19	and yes Dal Bukhara is so dam good and so are all the kababs.
positive	SERVICE#GENERAL	Service	0:7	Service here was great, food was fantastic.
positive	FOOD#QUALITY	pizza	4:9	The pizza was great.
positive	AMBIENCE#GENERAL	Raga's	0:6	Raga's is a romantic, cozy restaurant.
positive	FOOD#QUALITY	food	16:20	All in all, the food was great (except for the dessserts).
positive	FOOD#QUALITY	lobster	92:99	I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.
positive	SERVICE#GENERAL	service	4:11	The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.
positive	AMBIENCE#GENERAL	interior decor	29:43	this little place has a cute interior decor and affordable city prices.
positive	FOOD#QUALITY	anti-pasta	4:14	The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.
positive	FOOD#QUALITY	pizza	21:26	Other guests enjoyed pizza, santa fe chopped salad and fish and chips.
positive	AMBIENCE#GENERAL	main dining room	29:45	When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.
positive	AMBIENCE#GENERAL	decor	44:49	Excellent dumplings served amid clean, chic decor.
positive	AMBIENCE#GENERAL	music	69:74	We ate out in the back patio, which is worth it as it's cool and the music is hear well there.
positive	SERVICE#GENERAL	service	35:42	Interesting selection, good wines, service fine, fun decor.
positive	FOOD#STYLE_OPTIONS	specials menus	15:29	The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.
positive	FOOD#STYLE_OPTIONS	bruschettas	23:34	The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.
positive	DRINKS#PRICES	house champagne	59:74	Great wine selection, Gigondas is worth the price, and the house champagne is a great value.
positive	FOOD#QUALITY	sushi	63:68	Great friendly service, Fast seating, Fast Delivery, Excellent sushi.
positive	FOOD#PRICES	food	4:8	The food is so cheap and the waiters are nice.
positive	FOOD#STYLE_OPTIONS	food	4:8	The food is wonderful, tasty and filling, and the service is professional and friendly.
positive	AMBIENCE#GENERAL	atmosphere	10:20	Excellent atmosphere, delicious dishes good and friendly service.
negative	RESTAURANT#MISCELLANEOUS	place	12:17	Not a great place for family or general dining.
positive	RESTAURANT#MISCELLANEOUS	place	13:18	It's a great place to order from or sit-in.
positive	SERVICE#GENERAL	waiters	56:63	Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return. 
positive	FOOD#QUALITY	Hot Dogs	6:14	Great Hot Dogs!
positive	DRINKS#QUALITY	drinks	4:10	The drinks are great, especially when made by Raymond.
positive	FOOD#QUALITY	food	21:25	Great service, great food.
positive	FOOD#QUALITY	Edamame pureed	16:30	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
positive	FOOD#QUALITY	Food	0:4	Food took some time to prepare, all worth waiting for.
positive	FOOD#QUALITY	dishes	42:48	The menu is limited but almost all of the dishes are excellent.
positive	SERVICE#GENERAL	Usha	8:12	Ask for Usha, the nicest bartender in manhattan.
positive	FOOD#QUALITY	dishes	85:91	She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food.
negative	SERVICE#GENERAL	waitress	55:63	I was shocked that my friends wanted to stay after the waitress said, "can I help you" and "how many are in your party."
positive	AMBIENCE#GENERAL	shows	42:47	I loved everythig about it-especially the shows and actors.
positive	SERVICE#GENERAL	service	43:50	They have it all -- great price, food, and service.
negative	FOOD#QUALITY	food	55:59	I attended a holiday dinner at the restaurant, and the food was majorly disappointing.
negative	SERVICE#GENERAL	waitress	19:27	At this point, the waitress comes over and asks us if everything was okay, I was literally so shocked that I was speechless and didn't say anything, and guess what, the waitress WALKED away.
positive	FOOD#STYLE_OPTIONS	pizza	40:45	the crust was imazingly cooked well and pizza was fully loaded:):):)
positive	FOOD#STYLE_OPTIONS	japanese food	110:123	The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.
positive	FOOD#QUALITY	food	12:16	Even if the food wasn't this good, the garden is a great place to sit outside and relax.
neutral	LOCATION#GENERAL	view	47:51	The high prices you're going to pay is for the view not for the food.
positive	DRINKS#QUALITY	drinks	62:68	The food is good, especially their more basic dishes, and the drinks are delicious.
negative	FOOD#QUALITY	menu	51:55	I expected quite a bit more from such an expensive menu.
negative	SERVICE#GENERAL	waiter	42:48	We also asked for Hooka six times and the waiter kept telling us one minute and never returning with the Hooka.
positive	FOOD#QUALITY	food	100:104	We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.
positive	FOOD#QUALITY	pork souvlaki	13:26	But the best pork souvlaki I ever had is the main thing.
positive	RESTAURANT#GENERAL	fresh restaurant	0:16	fresh restaurant was amazing........ food was delicious and of course fresh.
positive	AMBIENCE#GENERAL	Restaurant	27:37	Possibly the Most Romantic Restaurant in the City
positive	FOOD#QUALITY	foie gras terrine with figs	42:69	The duck confit is always amazing and the foie gras terrine with figs was out of this world.
positive	RESTAURANT#MISCELLANEOUS	establishment	53:66	An awesome organic dog, and a conscious eco friendly establishment.
neutral	FOOD#QUALITY	Food	0:4	Food was very good, but not what I would consider out of this world.
positive	FOOD#QUALITY	food	74:78	This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
positive	AMBIENCE#GENERAL	feel	28:32	The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.
negative	SERVICE#GENERAL	manager	17:24	After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.
negative	SERVICE#GENERAL	hostess	4:11	The hostess and the waitress were incredibly rude and did everything they could to rush us out.
positive	FOOD#QUALITY	jelly fish	16:26	I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.
positive	FOOD#PRICES	spicy Tuna roll	4:19	The spicy Tuna roll is huge and probably the best that I've had at this price range.
positive	SERVICE#GENERAL	people	4:10	The people that work there are always so friendly you forget you are in New York sometimes.
positive	SERVICE#GENERAL	service	31:38	Great food, great decor, great service.
positive	SERVICE#GENERAL	Service	0:7	Service- friendly and attentive.
positive	FOOD#QUALITY	food	68:72	This is my first time writing a review for a restaurant because the food and service was excellent.
positive	AMBIENCE#GENERAL	place	70:75	The staff was accomodating, the food was absolutely delicious and the place is lovely.
positive	RESTAURANT#GENERAL	Leon	0:4	Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.
positive	SERVICE#GENERAL	service	20:27	Great food, amazing service, this place is a class act.
negative	FOOD#QUALITY	food	4:8	The food was lousy - too sweet or too salty and the portions tiny.
positive	RESTAURANT#GENERAL	place	5:10	This place is a must visit!
positive	FOOD#QUALITY	Caesar Salad	20:32	Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.
positive	AMBIENCE#GENERAL	outside table	39:52	If the weather is nice, try to snag an outside table.
positive	AMBIENCE#GENERAL	belly dancing show	23:41	We were drawn into the belly dancing show that captivated the crowd.
positive	AMBIENCE#GENERAL	place	4:9	The place was nice and calm.
positive	FOOD#QUALITY	baba ganoush	56:68	Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.
positive	FOOD#QUALITY	pizza	64:69	Right off the L in Brooklyn this is a nice cozy place with good pizza.
positive	FOOD#QUALITY	sushi	42:47	This place has ruined me for neighborhood sushi.
positive	FOOD#QUALITY	bagels	6:12	Great bagels made the old-fashioned way.
positive	SERVICE#GENERAL	service	24:31	Ambience is delightful, service impeccable.
positive	FOOD#QUALITY	modern Japanese	26:41	I've had my fair share of modern Japanese and this spot delivers.
positive	FOOD#PRICES	all you can eat sushi	8:29	$20 for all you can eat sushi cannot be beaten.
negative	FOOD#STYLE_OPTIONS	Chicken teriyaki	0:16	Chicken teriyaki had tomato or pimentos on top??
positive	DRINKS#PRICES	Wine list	0:9	Wine list is extensive without being over-priced.
positive	FOOD#QUALITY	food	18:22	Most importantly, food is excellent.
positive	DRINKS#STYLE_OPTIONS	wine list	4:13	The wine list is also really nice.
positive	AMBIENCE#GENERAL	place	5:10	This place is so much fun.
negative	SERVICE#GENERAL	frontman	217:225	This guy refused to seat her and she left, followed shortly by the four of us, but not before I told him that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant.
negative	RESTAURANT#GENERAL	Casa La Femme	46:59	I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.
positive	DRINKS#QUALITY	sake’s	4:10	The sake’s complimented the courses very well and is successfully easing me into the sake world.
positive	FOOD#QUALITY	millennium roll	27:42	Excellent sashimi, and the millennium roll is beyond delicious.
negative	FOOD#PRICES	dim sum	16:23	The rest of the dim sum, though pricey by Chinatown standards, is worth it.
positive	AMBIENCE#GENERAL	atmoshere	6:15	Great atmoshere and worth every bit.
positive	RESTAURANT#GENERAL	establishment	5:18	This establishment is the real deal. 
positive	FOOD#QUALITY	meal	111:115	The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal
positive	SERVICE#GENERAL	service	50:57	The food is wonderful, tasty and filling, and the service is professional and friendly.
positive	FOOD#QUALITY	pizza	50:55	The food is amazing, rich pastas and fresh doughy pizza.
negative	SERVICE#GENERAL	Delivery	0:8	Delivery can be spot on or lacking depending on the weather and the day of the week.
positive	FOOD#QUALITY	congee	8:14	Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.
negative	SERVICE#GENERAL	staff	8:13	But the staff was so horrible to us.
negative	RESTAURANT#PRICES	place	9:14	Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.
positive	SERVICE#GENERAL	wait	18:22	There was a small wait, but shorter than I expected.
positive	FOOD#PRICES	congee	45:51	And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).
positive	RESTAURANT#MISCELLANEOUS	staff	14:19	The owner and staff are all Japanese as well and that adds to the entire ambiance.
positive	SERVICE#GENERAL	Service	0:7	Service was wonderful;
neutral	RESTAURANT#MISCELLANEOUS	location	59:67	Not what I would expect for the price and prestige of this location.
positive	AMBIENCE#GENERAL	ambience	4:12	The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.
positive	FOOD#QUALITY	French bistro fare	70:88	Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.
positive	DRINKS#STYLE_OPTIONS	wine list	18:27	great food, great wine list, great service in a great neighborhood...
negative	RESTAURANT#PRICES	restaurant	26:36	The only fallback on this restaurant is the prices.
positive	SERVICE#GENERAL	service	34:41	The food was excellent as well as service, however, I left The Four Seasons very dissappointed.
positive	FOOD#STYLE_OPTIONS	rolls	14:19	Good creative rolls!
positive	FOOD#QUALITY	Sushi	16:21	Reliable, Fresh Sushi
positive	AMBIENCE#GENERAL	decor	53:58	Interesting selection, good wines, service fine, fun decor.
positive	AMBIENCE#GENERAL	atmosphere	102:112	A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.
positive	FOOD#QUALITY	pizza	4:9	The pizza was pretty good and huge.
negative	SERVICE#GENERAL	waitress	4:12	The waitress was not attentive at all.
positive	FOOD#QUALITY	food	5:9	Good food.
negative	RESTAURANT#GENERAL	place	5:10	This place...god where do i begin.
positive	FOOD#QUALITY	spaghetti with Scallops and Shrimp	37:71	The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.
positive	AMBIENCE#GENERAL	place	4:9	The place was quiet and delightful.
positive	FOOD#QUALITY	food	4:8	The food is good, I can't lie.
negative	AMBIENCE#GENERAL	place	142:147	The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.
negative	SERVICE#GENERAL	waitress	4:12	The waitress came to check in on us every few minutes, and began to clear the plates while half of us were still eating (a big pet peeve of mine that happens almost everywhere, so I try to ignore it).
positive	SERVICE#GENERAL	proprietor	31:41	The pizza is delicious and the proprietor is one of the nicest in NYC.
positive	FOOD#QUALITY	chicken pasta	13:26	i love their chicken pasta cant remember the name but is sooo good
negative	AMBIENCE#GENERAL	space	4:9	The space kind of feels like an Alice in Wonderland setting, without it trying to be that.
negative	FOOD#QUALITY	food	12:16	Too bad the food wasn't of the same heritage.
neutral	FOOD#QUALITY	food	16:20	Overall, decent food at a good price, with friendly people.
positive	SERVICE#GENERAL	service	34:41	The atmosphere is unheralded, the service impecible, and the food magnificant.
negative	SERVICE#GENERAL	manager	29:36	The only problem is that the manager is a complete incompetent.
positive	FOOD#QUALITY	selection of thin crust pizza	37:66	This is a nice pizza place with good selection of thin crust pizza including the Basil slice.
positive	AMBIENCE#GENERAL	resturant	28:37	The service is good and the resturant is clean.
positive	FOOD#QUALITY	good	63:67	sometimes i get bad food and bad service, sometimes i get good good and bad service.
positive	FOOD#QUALITY	Indian food	6:17	Great Indian food
positive	FOOD#QUALITY	food	51:55	This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .
positive	SERVICE#GENERAL	service	26:33	Great Indian food and the service is incredible.
positive	SERVICE#GENERAL	waiter	74:80	It’s just you and your date and an occasional cute ‘excuse me’ before the waiter opens the little curtain to your booth!
positive	AMBIENCE#GENERAL	candle-light	49:61	Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.
positive	SERVICE#GENERAL	service	23:30	Always good drinks and service is pretty good;
positive	FOOD#STYLE_OPTIONS	dishes	42:48	The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.
negative	FOOD#PRICES	all you can eat deal	30:50	I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.
positive	RESTAURANT#GENERAL	place	30:35	I would highly recommend this place!
positive	RESTAURANT#GENERAL	place	5:10	This place, which is only a few months old, is perhaps Queens' biggest secret!
positive	DRINKS#STYLE_OPTIONS	wine selection	6:20	Great wine selection, Gigondas is worth the price, and the house champagne is a great value.
negative	RESTAURANT#PRICES	The Four Seasons	0:16	The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say "I've been to the four seasons restaurant".
positive	RESTAURANT#GENERAL	Cypriot restaurant	4:22	The Cypriot restaurant has a lot going for it.
negative	SERVICE#GENERAL	waitress	4:12	The waitress, seems to be more concerned of looking good than actually waitressing.
positive	FOOD#QUALITY	spreads	5:12	Good spreads, great beverage selections and bagels really tasty.
positive	FOOD#QUALITY	green curry with vegetables	4:31	Try green curry with vegetables.
positive	SERVICE#GENERAL	waitstaff	54:63	The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.
positive	DRINKS#QUALITY	martinis	4:12	The martinis are amazing and very fairly priced.
negative	FOOD#QUALITY	smoked salmon and roe appetizer	14:45	I ordered the smoked salmon and roe appetizer and it was off flavor.
positive	AMBIENCE#GENERAL	Zenkichi	95:103	I don’t usually visit the same establishment more than once, what more twice, but I’ll come to Zenkichi anytime for a quiet, unhurried and memorable dinner.
positive	FOOD#STYLE_OPTIONS	pastas	26:32	The food is amazing, rich pastas and fresh doughy pizza.
negative	FOOD#QUALITY	dessert	29:36	Someone else recommended the dessert - we also left that.
positive	FOOD#QUALITY	salmon	43:49	I did not try the caviar but I tried their salmon and crab salad (they are all good)  
negative	SERVICE#GENERAL	delivery	40:48	Average to good Thai food, but terrible delivery.
negative	FOOD#QUALITY	dinner	4:10	The dinner was ok, nothing I would have again.
positive	DRINKS#STYLE_OPTIONS	bar	4:7	The bar is very well stocked with interesting beers and well priced wines.
positive	FOOD#QUALITY	salads	4:10	the salads are delicious, both refreshing and very spicy.
positive	RESTAURANT#GENERAL	place	12:17	I love this place
positive	SERVICE#GENERAL	service	13:20	The wine the service was very good too.
positive	FOOD#QUALITY	pesto pizza	4:15	The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.
positive	AMBIENCE#GENERAL	ambiance	10:18	While the ambiance and atmosphere were great, the food and service could have been a lot better.
negative	FOOD#STYLE_OPTIONS	pasta penne	4:15	The pasta penne was pretty extra buttery, creamy which means a big task to diggest.. tasty at first but i would say that i was full with a slice of pizza and 7 to count, penne...got a little moody afterwards cause was stuffed...lol
positive	RESTAURANT#GENERAL	Lucky Strike	85:97	As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.
positive	FOOD#QUALITY	food	4:8	The food was exceptional.
neutral	FOOD#QUALITY	frozen black sesame mousse	27:53	For desserts, we tried the frozen black sesame mousse (interesting but not extraordinary) and matcha (powdered green tea) and blueberry cheesecake, which was phenomenal.
positive	AMBIENCE#GENERAL	place	5:10	Cute place, nice wait staff but would never go there again.
positive	FOOD#QUALITY	cuisine	16:23	Not only is the cuisine the best around, the service has always been attentive and charming.
positive	FOOD#STYLE_OPTIONS	portion sizes	22:35	The food is tasty and portion sizes are appropriate.
positive	AMBIENCE#GENERAL	decor	73:78	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.
negative	RESTAURANT#MISCELLANEOUS	space	4:9	The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.
positive	FOOD#PRICES	meal	81:85	The wine list is extensive and can easily hike up an otherwise reasonably priced meal.
negative	FOOD#QUALITY	lemon salad	26:37	With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.
positive	FOOD#STYLE_OPTIONS	bagels	6:12	Great bagels made the old-fashioned way.
positive	FOOD#QUALITY	sushi	4:9	The sushi seemed pretty fresh and was adequately proportioned.
positive	RESTAURANT#MISCELLANEOUS	Casa La Femme	23:36	I completely recommend Casa La Femme for any special occasion and to REALLY impress your date.
positive	AMBIENCE#GENERAL	atomosphere	14:25	Cozy romantic atomosphere with only around 15 tables at most.
positive	FOOD#QUALITY	indian chinese food	21:40	This place has great indian chinese food.
positive	FOOD#QUALITY	Yellowtail	4:14	The Yellowtail was particularly good as well.
positive	FOOD#QUALITY	half price sushi deal	26:47	We took advanatage of the half price sushi deal on saturday so it was well worth it.
positive	FOOD#QUALITY	meal	5:9	Best meal in a long time!
positive	FOOD#QUALITY	food	17:21	delicious simple food in nice outdoor atmosphere.
positive	RESTAURANT#MISCELLANEOUS	place	8:13	A great place to meet up for some food and drinks...  
positive	FOOD#QUALITY	cream cheeses	4:17	The cream cheeses are out of this world and I love that coffee!!
positive	FOOD#QUALITY	food	33:37	They have it all -- great price, food, and service.
negative	SERVICE#GENERAL	service	4:11	The service leaves much to be desired, from feeling like you are rushed the place your order, to being ignored the rest of the night.
neutral	FOOD#QUALITY	lobster	0:7	lobster was good, nothing spectacular.
neutral	AMBIENCE#GENERAL	environment	31:42	What you are paying for is the environment and the name.
positive	RESTAURANT#GENERAL	Water's Edge	22:34	Thank you everyone at Water's Edge.
positive	FOOD#QUALITY	Grilled Black Cod	13:30	I picked the Grilled Black Cod as my entree, which I absolutely devoured while someone commented that the Grilled Salmon dish was better.
positive	FOOD#QUALITY	bagels	44:50	Good spreads, great beverage selections and bagels really tasty.
positive	RESTAURANT#GENERAL	Shabu-Shabu Restaurant	17:39	This is the BEST Shabu-Shabu Restaurant in the Try-State Area.
positive	FOOD#QUALITY	Pad Thai	8:16	Try the Pad Thai, it's fabulous and their prices are so cheap!
positive	AMBIENCE#GENERAL	ambience	11:19	I like the ambience, it's very dark and original.
positive	FOOD#PRICES	food	36:40	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
negative	AMBIENCE#GENERAL	place	5:10	This place is not inviting and the food is totally weird.
positive	FOOD#QUALITY	Lasagna Menu	158:170	I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!
positive	RESTAURANT#GENERAL	place	63:68	I go and eat out at many different restaurants and this is one place you have go and try.
positive	AMBIENCE#GENERAL	setting	146:153	You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.
negative	FOOD#STYLE_OPTIONS	all you can eat deal	30:50	I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.
negative	FOOD#QUALITY	calamari	23:31	You should pass on the calamari.
positive	FOOD#QUALITY	cheeseburger	39:51	The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.
positive	FOOD#QUALITY	food	4:8	The food was absolutely amazing!!
positive	SERVICE#GENERAL	wait staff	17:27	Cute place, nice wait staff but would never go there again.
negative	SERVICE#GENERAL	staff	79:84	All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.
positive	SERVICE#GENERAL	service	16:23	Subtle food and service
positive	DRINKS#STYLE_OPTIONS	Wine list	0:9	Wine list is extensive without being over-priced.
positive	FOOD#STYLE_OPTIONS	bagel	4:9	The bagel was huge.
positive	DRINKS#STYLE_OPTIONS	wine list	39:48	The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.
positive	SERVICE#GENERAL	Service	0:7	Service is top notch.
positive	RESTAURANT#GENERAL	Zucchero Pomodori	89:106	Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.
positive	FOOD#QUALITY	shrimp scampi	4:17	The shrimp scampi was excellent and the antipasti were plentiful.
positive	SERVICE#GENERAL	staff	4:9	The staff is incredibly helpful and attentive.
positive	FOOD#STYLE_OPTIONS	food	4:8	The food options rule.
positive	RESTAURANT#GENERAL	Cafe Spice	16:26	I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.
positive	FOOD#QUALITY	food	6:10	Great food, good size menu, great service and an unpretensious setting.
negative	AMBIENCE#GENERAL	music	17:22	If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.
positive	RESTAURANT#GENERAL	place	12:17	my favorite place lol
positive	FOOD#QUALITY	food	19:23	It's all about the food !!
negative	SERVICE#GENERAL	front of house staff	23:43	Fabulous food - if the front of house staff don't put you off – 
